Frame, Frame Full, Scene, UI
1, 0.025021, 0.003065, 0.000448
2, 0.014105, 0.002443, 0.000479
3, 0.01533, 0.001704, 0.000508
4, 0.016113, 0.001784, 0.000159
5, 0.016662, 0.001529, 0.000101
6, 0.016469, 0.001858, 0.000101
7, 0.016976, 0.001634, 0.000103
8, 0.01738, 0.001514, 9.9e-05
9, 0.016203, 0.001556, 0.000119
10, 0.016509, 0.002057, 0.000104
11, 0.016381, 0.002234, 0.00023
12, 0.016567, 0.001512, 9.5e-05
13, 0.01681, 0.0017, 0.0001
14, 0.016446, 0.001514, 0.0001
15, 0.016979, 0.001548, 0.000111
16, 0.016496, 0.001636, 9.7e-05
17, 0.016597, 0.001508, 9.6e-05
18, 0.01647, 0.0015, 9.4e-05
19, 0.0168, 0.001519, 9.1e-05
20, 0.016354, 0.001504, 9.8e-05
21, 0.016967, 0.001498, 9.2e-05
22, 0.016744, 0.001503, 9.5e-05
23, 0.016365, 0.001531, 0.000106
24, 0.016603, 0.001591, 0.000116
25, 0.016786, 0.001507, 9.1e-05
26, 0.016475, 0.00152, 9.8e-05
27, 0.016657, 0.001506, 9.1e-05
28, 0.017031, 0.001524, 9.8e-05
29, 0.01646, 0.001553, 9.5e-05
30, 0.016759, 0.001516, 9.8e-05
31, 0.016246, 0.001512, 9.5e-05
32, 0.016931, 0.001634, 9.7e-05
33, 0.016477, 0.001503, 9.1e-05
34, 0.016697, 0.001503, 9.4e-05
35, 0.016635, 0.001501, 9.3e-05
36, 0.016875, 0.001508, 9.5e-05
37, 0.016508, 0.001698, 0.000106
38, 0.016561, 0.001648, 9.8e-05
39, 0.016687, 0.001531, 9.9e-05
40, 0.016721, 0.001508, 9.1e-05
41, 0.016357, 0.001634, 0.000111
42, 0.016451, 0.001502, 9.4e-05
43, 0.016688, 0.001513, 9.3e-05
44, 0.016648, 0.001506, 9.6e-05
45, 0.016557, 0.001505, 9.2e-05
46, 0.01675, 0.001523, 0.000113
47, 0.016519, 0.001498, 9e-05
48, 0.017106, 0.001551, 9.6e-05
49, 0.01632, 0.001501, 9.8e-05
50, 0.016714, 0.001691, 0.0001
51, 0.016899, 0.001536, 0.000101
52, 0.016199, 0.001714, 0.000103
53, 0.016864, 0.001711, 9.5e-05
54, 0.016591, 0.001703, 0.000111
55, 0.01647, 0.001686, 9.8e-05
56, 0.016815, 0.001735, 9.8e-05
57, 0.016588, 0.001799, 0.000115
58, 0.016619, 0.001748, 0.000113
59, 0.016527, 0.001499, 8.9e-05
60, 0.016662, 0.00163, 9.4e-05
61, 0.017186, 0.001609, 9.3e-05
62, 0.016188, 0.001596, 0.000105
63, 0.016882, 0.003435, 0.000125
64, 0.016937, 0.001495, 9.6e-05
65, 0.016103, 0.00151, 9.5e-05
66, 0.016565, 0.00149, 9.8e-05
67, 0.016769, 0.00171, 9.7e-05
68, 0.016594, 0.001709, 0.000102
69, 0.016695, 0.001717, 9.4e-05
70, 0.016539, 0.001752, 0.000113
71, 0.016725, 0.001967, 0.000116
72, 0.016652, 0.001733, 9.5e-05
73, 0.016484, 0.001693, 9.9e-05
74, 0.016909, 0.00175, 0.000111
75, 0.016412, 0.00176, 0.0001
76, 0.017008, 0.001702, 0.000119
77, 0.016453, 0.001493, 0.0001
78, 0.016457, 0.001712, 0.000105
79, 0.016601, 0.001739, 9.6e-05
80, 0.016879, 0.00168, 0.000123
81, 0.016693, 0.001686, 9.2e-05
82, 0.016324, 0.001544, 0.000101
83, 0.016662, 0.001496, 9.1e-05
84, 0.016786, 0.001499, 9.4e-05
85, 0.017096, 0.001514, 0.000104
86, 0.016165, 0.00151, 9.8e-05
87, 0.016827, 0.001509, 0.0001
88, 0.016423, 0.00152, 0.000104
89, 0.016856, 0.001502, 9.2e-05
90, 0.016693, 0.001559, 9.5e-05
91, 0.01659, 0.001504, 9.1e-05
92, 0.01673, 0.001501, 9.3e-05
93, 0.016454, 0.001729, 9.6e-05
94, 0.016672, 0.001532, 0.000106
95, 0.016536, 0.001507, 9.2e-05
96, 0.016493, 0.001586, 9.3e-05
97, 0.016787, 0.001568, 9.4e-05
98, 0.016529, 0.001499, 9.5e-05
99, 0.016662, 0.001498, 9e-05
100, 0.017042, 0.001609, 0.000109
101, 0.016399, 0.001635, 9.1e-05
102, 0.0168, 0.001515, 9.5e-05
103, 0.016369, 0.001503, 9.5e-05
104, 0.016746, 0.001506, 0.0001
105, 0.016581, 0.001505, 9.8e-05
106, 0.016632, 0.001514, 9.4e-05
107, 0.01684, 0.001498, 9.9e-05
108, 0.016374, 0.001628, 9.3e-05
109, 0.016704, 0.001628, 9.7e-05
110, 0.016779, 0.001656, 9.2e-05
111, 0.016397, 0.001499, 9.1e-05
112, 0.016648, 0.001505, 9.7e-05
113, 0.016714, 0.001538, 0.000101
114, 0.016723, 0.001502, 9.8e-05
115, 0.016665, 0.001729, 9.7e-05
116, 0.016331, 0.001738, 9.3e-05
117, 0.016685, 0.001512, 0.000102
118, 0.016622, 0.001549, 9.5e-05
119, 0.016647, 0.001504, 9.4e-05
120, 0.016731, 0.001625, 9.3e-05
121, 0.016698, 0.00151, 9.2e-05
122, 0.016373, 0.001655, 9.4e-05
123, 0.016532, 0.001504, 9.1e-05
124, 0.017357, 0.001512, 0.000105
125, 0.015991, 0.001516, 9.7e-05
126, 0.016957, 0.001524, 9.8e-05
127, 0.016274, 0.001541, 9.4e-05
128, 0.016824, 0.001505, 9.2e-05
129, 0.016569, 0.001505, 9.2e-05
130, 0.016714, 0.001624, 9.1e-05
131, 0.016466, 0.001766, 0.000128
132, 0.016532, 0.001504, 0.0001
133, 0.016911, 0.00151, 9.5e-05
134, 0.016599, 0.001509, 9.5e-05
135, 0.01653, 0.001626, 8.9e-05
136, 0.016431, 0.001507, 9.6e-05
137, 0.016873, 0.001509, 9e-05
138, 0.016462, 0.001509, 0.000103
139, 0.016986, 0.001509, 8.9e-05
140, 0.016547, 0.001527, 9.4e-05
141, 0.016384, 0.001506, 9.1e-05
142, 0.016574, 0.001521, 9.4e-05
143, 0.016674, 0.001497, 9e-05
144, 0.016734, 0.001508, 9.4e-05
145, 0.016574, 0.001505, 9e-05
146, 0.016917, 0.001635, 9.6e-05
147, 0.016344, 0.001513, 9.3e-05
148, 0.016625, 0.001522, 9.4e-05
149, 0.017045, 0.00151, 9.2e-05
150, 0.016517, 0.001534, 0.000101
151, 0.016779, 0.001503, 9.2e-05
152, 0.016342, 0.001629, 9.4e-05
153, 0.016746, 0.001626, 9.2e-05
154, 0.016558, 0.0015, 9.2e-05
155, 0.016456, 0.0015, 9.7e-05
156, 0.016576, 0.001503, 9.4e-05
157, 0.01663, 0.001685, 0.000137
158, 0.016739, 0.001509, 9.6e-05
159, 0.016542, 0.001615, 9e-05
160, 0.016497, 0.001509, 9.3e-05
161, 0.016821, 0.001575, 9.2e-05
162, 0.016412, 0.001514, 9.4e-05
163, 0.01679, 0.001516, 9.1e-05
164, 0.016646, 0.001549, 9.7e-05
165, 0.016704, 0.001501, 9.9e-05
166, 0.016673, 0.001527, 9.4e-05
167, 0.016376, 0.001508, 9.5e-05
168, 0.016828, 0.001514, 9.5e-05
169, 0.016693, 0.001508, 9.1e-05
170, 0.016494, 0.001509, 9.1e-05
171, 0.016604, 0.001634, 8.9e-05
172, 0.016923, 0.00169, 0.000101
173, 0.016552, 0.001511, 9.1e-05
174, 0.01659, 0.001544, 0.000101
175, 0.016583, 0.001501, 9e-05
176, 0.016811, 0.001503, 9.3e-05
177, 0.016611, 0.001507, 9.2e-05
178, 0.016453, 0.001504, 9.5e-05
179, 0.016832, 0.001513, 9.3e-05
180, 0.016585, 0.001562, 9.3e-05
181, 0.016653, 0.001495, 9.7e-05
182, 0.016418, 0.0015, 9.3e-05
183, 0.016786, 0.001504, 8.9e-05
184, 0.016549, 0.001543, 9.5e-05
185, 0.016735, 0.001517, 9.2e-05
186, 0.01659, 0.00155, 0.000114
187, 0.016621, 0.001509, 9.1e-05
188, 0.016807, 0.001556, 9.4e-05
189, 0.016339, 0.001523, 9.2e-05
190, 0.016647, 0.001506, 9.4e-05
191, 0.016746, 0.001512, 9.1e-05
192, 0.016709, 0.001497, 9.6e-05
193, 0.016594, 0.001507, 9.2e-05
194, 0.016628, 0.001496, 9.3e-05
195, 0.016426, 0.001503, 8.8e-05
196, 0.016769, 0.001507, 9.2e-05
197, 0.016577, 0.001651, 0.000104
198, 0.017044, 0.001521, 9.6e-05
199, 0.016411, 0.001512, 0.000154
200, 0.016531, 0.001499, 9.4e-05
201, 0.016739, 0.001511, 9.3e-05
202, 0.01639, 0.001501, 9.1e-05
203, 0.016671, 0.001515, 8.9e-05
204, 0.016731, 0.001515, 9.5e-05
205, 0.016798, 0.001571, 9.6e-05
206, 0.016417, 0.00151, 9.3e-05
207, 0.01671, 0.001505, 9.1e-05
208, 0.016563, 0.001502, 9.6e-05
209, 0.016737, 0.001505, 9.1e-05
210, 0.016682, 0.001565, 0.000144
211, 0.016879, 0.001512, 9.1e-05
212, 0.016687, 0.001555, 0.000102
213, 0.016513, 0.001505, 8.7e-05
214, 0.016461, 0.001495, 9.3e-05
215, 0.016625, 0.00151, 9.2e-05
216, 0.016619, 0.001504, 9.3e-05
217, 0.016566, 0.001502, 9.1e-05
218, 0.016873, 0.001497, 9.2e-05
219, 0.016365, 0.001496, 9.2e-05
220, 0.016676, 0.001506, 9.5e-05
221, 0.016864, 0.002217, 0.000117
222, 0.016887, 0.001592, 0.000107
223, 0.016338, 0.001506, 9.6e-05
224, 0.017047, 0.00151, 9.3e-05
225, 0.016613, 0.001502, 8.8e-05
226, 0.016105, 0.00151, 9.3e-05
227, 0.016656, 0.001499, 9.5e-05
228, 0.016571, 0.001536, 9e-05
229, 0.016971, 0.00171, 9e-05
230, 0.016471, 0.001557, 0.000103
231, 0.016646, 0.001731, 9.6e-05
232, 0.016531, 0.001755, 9.7e-05
233, 0.016673, 0.00168, 9e-05
234, 0.01689, 0.001703, 9.8e-05
235, 0.016514, 0.001508, 9.1e-05
236, 0.01671, 0.001545, 9.3e-05
237, 0.016554, 0.001502, 9e-05
238, 0.016725, 0.00151, 9.6e-05
239, 0.016404, 0.001502, 9.1e-05
240, 0.016609, 0.0015, 9.3e-05
241, 0.016785, 0.001502, 9e-05
242, 0.01664, 0.001583, 9.9e-05
243, 0.016453, 0.001503, 8.9e-05
244, 0.016961, 0.001506, 9.8e-05
